Old Order	Current order	Taxon Order	Category	English Name	French Name	Scientific Name	Order	Family	Taxon	Location	S/P	Date	LocID	SubID	Exotic	Countable
1555	1233	17461	species	Cassin's Kingbird	Tyran de Cassin	Tyrannus vociferans	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17461	San Elijo Lagoon--west	US-CA	16-Oct-13	L761141	S15420453		1
1886	1220	17361	species	Cattle Tyrant	Tyran querelleur	Machetornis rixosa	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17361	PNN Tayrona--Arrecifes	CO-MAG	27-Dec-09	L5239031	S103510896		1
1660	1649	29888	species	Cedar Waxwing	Jaseur d'Amrique	Bombycilla cedrorum	Passeriformes	Bombycillidae (Waxwings)	29888	Ottawa--Rideau Forest	CA-ON	13-Jun-12	L2381380	S15665777		1
1108	1872	34061	species	Cerulean Warbler	Paruline azure	Setophaga cerulea	Passeriformes	Parulidae (New World Warblers)	34061	Point Pelee NP--Tip	CA-ON	12-May-16	L611224	S29587443		1
252	1372	19983	species	Chabert Vanga	Artamie chabert	Leptopterus chabert	Passeriformes	"Vangidae (Vangas, Helmetshrikes, and Allies)"	19983	"Alaotra-Mangoro, MG (-18,99, 48,435)"	MG-A	08-Nov-24	L37867592	S201831901		1
738	857	10940	species	Channel-billed Toucan	Toucan vitellin	Ramphastos vitellinus	Piciformes	Ramphastidae (Toucans)	10940	Asa Wright Nature Center	TT-TUP	07-Apr-18	L40158136	S44325960		1
969	995	13685	species	Checker-throated Stipplethroat	Myrmidon fauve	Epinecrophylla fulviventris	Passeriformes	Thamnophilidae (Typical Antbirds)	13685	Plantation Road--Parque Nacional Soberana	PA-8	31-Mar-17	L454712	S35560462		1
188	861	11100	species	Chestnut Piculet	Picumne cannelle	Picumnus cinnamomeus	Piciformes	Picidae (Woodpeckers)	11100	Via Parque Isla de Salamanca--Centro Administrativo Los Cocos	CO-MAG	04-Apr-25	L1856337	S222944042		1
97	1313	18532	species	Chestnut Quail-thrush	Cinclosome marron	Cinclosoma castanotum	Passeriformes	Cinclosomatidae (Quail-thrushes and Jewel-babblers)	18532	Murray-Sunset NP--Taplan Gate	AU-VIC	07-Nov-25	L38990623	S283231538		1
860	51	642	species	Chestnut Teal	Sarcelle rousse	Anas castanea	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	642	Royal National Park--Ironbark Flat	AU-NSW	11-Oct-17	L2556392	S39822365		1
988	1009	14020	species	Chestnut-backed Antbird	Alapi  dos roux	Poliocrania exsul	Passeriformes	Thamnophilidae (Typical Antbirds)	14020	Semaphore Hill Road--Parque Nacional Soberana	PA-8	20-Nov-16	L454718	S32635012		1
670	1448	22094	species	Chestnut-backed Chickadee	Msange  dos marron	Poecile rufescens	Passeriformes	"Paridae (Tits, Chickadees, and Titmice)"	22094	Stanley Park--Beaver Lake	CA-BC	18-Oct-18	L344388	S49275033		1
461	331	5082	species	Chestnut-bellied Hummingbird	Ariane  ventre roux	Saucerottia castaneiventris	Apodiformes	Trochilidae (Hummingbirds)	5082	DRMI Bosques Secos del Chicamocha--Vereda La Costa	CO-BOY	21-Nov-19	L3216165	S61626495		1
1182	1776	33081	species	Chestnut-capped Brushfinch	Tohi  nuque brune	Arremon brunneinucha	Passeriformes	Passerellidae (New World Sparrows)	33081	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	19-Dec-14	L1252500	S20957406		1
1100	1892	34233	species	Chestnut-capped Warbler	Paruline de Delattre	Basileuterus delattrii	Passeriformes	Parulidae (New World Warblers)	34233	PA-Panam-Panama City-Calle Gorgas - 8.9623x-79.5489	PA-8	10-Nov-16	L5075189	S32494739		1
373	889	11798	species	Chestnut-colored Woodpecker	Pic roux	Celeus castaneus	Piciformes	Picidae (Woodpeckers)	11798	Estacin Biolgica La Selva-OTS	CR-H	08-Jun-22	L436195	S112459039		1
1233	1016	14234	species	Chestnut-crowned Antpitta	Grallaire  tte rousse	Grallaria ruficapilla	Passeriformes	Grallariidae (Antpittas)	14234	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
87	1312	18515	species	Chestnut-crowned Babbler	Pomatostome  calotte marron	Pomatostomus ruficeps	Passeriformes	Pomatostomidae (Pseudo-Babblers)	18515	Yarrara Flora and Fauna Reserve	AU-VIC	08-Nov-25	L937591	S283358920		1
431	974	13142	species	Chestnut-fronted Macaw	Ara vert	Ara severus	Psittaciformes	Psittacidae (New World and African Parrots)	13142	Miller Drive Roost (Brewer Park)	US-FL	10-Apr-22	L578426	S106727010	P	1
1080	1817	33629	species	Chestnut-headed Oropendola	Cassique  tte brune	Psarocolius wagleri	Passeriformes	Icteridae (Troupials and Allies)	33629	Canopy Lodge	PA-2	11-Nov-16	L604642	S32494590		1
1232	1018	14252	species	Chestnut-naped Antpitta	Grallaire  nuque rousse	Grallaria nuchalis	Passeriformes	Grallariidae (Antpittas)	14252	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
111	1306	18415	species	Chestnut-rumped Thornbill	Acanthize  croupion roux	Acanthiza uropygialis	Passeriformes	Acanthizidae (Thornbills and Allies)	18415	Ikara-Flinders Ranges National Park--Brachina Gorge Lookout	AU-SA	05-Nov-25	L4913364	S282936967		1
1867	1880	34133	species	Chestnut-sided Warbler	Paruline  flancs marron	Setophaga pensylvanica	Passeriformes	Parulidae (New World Warblers)	34133	Ottawa--Rideau Forest	CA-ON	18-Aug-11	L2381380	S15665385		1
195	88	970	species	Chestnut-winged Chachalaca	Ortalide babillarde	Ortalis garrula	Galliformes	"Cracidae (Guans, Chachalacas, and Curassows)"	970	Agrcola Camelias	CO-BOL	02-Apr-25	L15083845	S222468822		1
508	1058	15092	species	Chestnut-winged Cinclodes	Cinclode  miroir marron	Cinclodes albidiventris	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	15092	PN Antisana--pradera de los ibis y alrededores	EC-N	12-Apr-19	L2761741	S54867630		1
1144	221	3896	species	Chimney Swift	Martinet ramoneur	Chaetura pelagica	Apodiformes	Apodidae (Swifts)	3896	Magee Marsh (Lucas Co.)	US-OH	14-May-15	L317582	S23442730		1
1456	1362	19875	species	Chinspot Batis	Pririt molitor	Batis molitor	Passeriformes	Platysteiridae (Wattle-eyes and Batises)	19875	Kruger NP--Letaba-Olifants Rd	ZA-LP	25-Sep-14	L2355950	S20317879		1
1864	1768	32990	species	Chipping Sparrow	Bruant familier	Spizella passerina	Passeriformes	Passerellidae (New World Sparrows)	32990	Ottawa--Rideau Forest	CA-ON	19-Aug-11	L2381380	S15665404		1
133	1319	18983	species	Chirruping Wedgebill	Psophode babillard	Psophodes cristatus	Passeriformes	Psophodidae (Whipbirds and Wedgebills)	18983	Farina	AU-SA	04-Nov-25	L2554790	S282786422		1
698	1341	19273	species	Chivi Vireo	Viro chivi	Vireo chivi	Passeriformes	"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"	19273	Cuffie River Nature Retreat	TT-TOB	13-Apr-18	L470121	S44526821		1
582	1803	33472	species	Choco Brushfinch	Tohi  bec fort	Atlapetes crassus	Passeriformes	Passerellidae (New World Sparrows)	33472	Tandayapa--San Jorge Tandayapa	EC-P	05-Apr-19	L1907810	S54603202		1
907	1211	17262	species	Choco Sirystes	Tyran du Choco	Sirystes albogriseus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17262	Lajas Blancas	PA-EM	06-Apr-17	L5683119	S35739384		1
550	856	10939	species	Choco Toucan	Toucan du Choco	Ramphastos brevis	Piciformes	Ramphastidae (Toucans)	10939	Milpe Bird Sanctuary (including former Milpe Gardens)	EC-P	08-Apr-19	L493675	S54718299		1
547	1170	16802	species	Choco Tyrannulet	Tyranneau du Choco	Zimmerius albigularis	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16802	Milpe Bird Sanctuary (including former Milpe Gardens)	EC-P	08-Apr-19	L493675	S54718299		1
543	1900	34324	species	Choco Warbler	Paruline du Choco	Myiothlypis chlorophrys	Passeriformes	Parulidae (New World Warblers)	34324	San Jorge de Milpe	EC-P	08-Apr-19	L1960641	S54723055		1
436	210	3594	species	Chuck-will's-widow	Engoulevent de Caroline	Antrostomus carolinensis	Caprimulgiformes	Caprimulgidae (Nightjars and Allies)	3594	Green Cay Wetlands & Nature Center	US-FL	22-Mar-22	L246929	S105358092		1
634	108	1765	species	Chukar	Perdrix choukar	Alectoris chukar	Galliformes	"Phasianidae (Pheasants, Grouse, and Allies)"	1765	HI: Haleakala NP - Visitors' Center (lower)	US-HI	09-Nov-18	L1614549	S49813922	N	1
452	1114	16034	species	Cinereous Becard	Bcarde cendre	Pachyramphus rufus	Passeriformes	Tityridae (Tityras and Allies)	16034	Laguna El Tabacal	CO-CUN	24-Nov-19	L1252637	S61700588		1
613	2001	35265	species	Cinereous Conebill	Conirostre cendr	Conirostrum cinereum	Passeriformes	Thraupidae (Tanagers and Allies)	35265	San Jorge Ecolodge (Quito)	EC-P	03-Apr-19	L895012	S54511182		1
966	1115	16037	species	Cinnamon Becard	Bcarde cannelle	Pachyramphus cinnamomeus	Passeriformes	Tityridae (Tityras and Allies)	16037	Gamboa Rainforest Reserve	PA-3	31-Mar-17	L454674	S35593822		1
1218	1150	16519	species	Cinnamon Flycatcher	Moucherolle cannelle	Pyrrhomyias cinnamomeus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16519	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
1854	333	5100	species	Cinnamon Hummingbird	Ariane cannelle	Amazilia rutila	Apodiformes	Trochilidae (Hummingbirds)	5100	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
130	1314	18539	species	Cinnamon Quail-thrush	Cinclosome cannelle	Cinclosoma cinnamomeum	Passeriformes	Cinclosomatidae (Quail-thrushes and Jewel-babblers)	18539	"17Ð29 Mulgaria Rd, Witchelina AU-SA -30.06746, 138.13051"	AU-SA	04-Nov-25	L54773533	S282786364		1
1010	888	11788	species	Cinnamon Woodpecker	Pic cannelle	Celeus loricatus	Piciformes	Picidae (Woodpeckers)	11788	Plantation Road--Parque Nacional Soberana	PA-8	18-Nov-16	L454712	S32606575		1
1751	2033	35806	species	Cinnamon-bellied Saltator	Saltator du Mexique	Saltator grandis	Passeriformes	Thraupidae (Tanagers and Allies)	35806	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
2001	782	9794	species	Cinnamon-chested Bee-eater	Gupier montagnard	Merops oreobates	Coraciiformes	Meropidae (Bee-eaters)	9794	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
1159	1423	21484	species	Clark's Nutcracker	Cassenoix d'Amrique	Nucifraga columbiana	Passeriformes	"Corvidae (Crows, Jays, and Magpies)"	21484	Sun Peaks Resort	CA-BC	16-Mar-15	L2312627	S22388299		1
1517	1769	32996	species	Clay-colored Sparrow	Bruant des plaines	Spizella pallida	Passeriformes	Passerellidae (New World Sparrows)	32996	Point Pelee NP* general (use more precise loc.)	CA-ON	01-May-14	L131153	S18164526		1
1790	1631	28767	species	Clay-colored Thrush	Merle fauve	Turdus grayi	Passeriformes	Turdidae (Thrushes and Allies)	28767	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1150	1507	24281	species	Cliff Swallow	Hirondelle  front blanc	Petrochelidon pyrrhonota	Passeriformes	Hirundinidae (Swallows)	24281	Metzger Marsh--Woodlot	US-OH	12-May-15	L3594591	S23409948		1
732	1628	28751	species	Cocoa Thrush	Merle cacao	Turdus fumigatus	Passeriformes	Turdidae (Thrushes and Allies)	28751	Brasso Seco	TT-TUP	08-Apr-18	L686801	S44374846		1
1030	1042	14821	species	Cocoa Woodcreeper	Grimpar cacao	Xiphorhynchus susurrans	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	14821	Chorro Macho (Canopy Adventure)	PA-2	15-Nov-16	L9526634	S32571233		1
1873	622	7762	species	Cocoi Heron	Hron cocoi	Ardea cocoi	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7762	Via Parque Isla de Salamanca--Lagunas Costeras	CO-MAG	29-Dec-09	L1051521	S103525654		1
312	556	7345	species	Cocos Booby	Fou des Cocos	Sula brewsteri	Suliformes	Sulidae (Boobies and Gannets)	7345	Playa Panama	CR-G	07-Dec-23	L4375102	S155913705		1
1884	851	10885	species	Collared Aracari	Araari  collier	Pteroglossus torquatus	Piciformes	Ramphastidae (Toucans)	10885	Minca (y alrededores/general area)	CO-MAG	28-Dec-09	L1161669	S103523030		1
2048	274	4623	species	Collared Inca	Inca  collier	Coeligena torquata	Apodiformes	Trochilidae (Hummingbirds)	4623	Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists)	EC-P	02-Jul-04	L5130044	S102099845		1
334	415	5933	species	Collared Plover	Pluvier d'Azara	Anarhynchus collaris	Charadriiformes	Charadriidae (Plovers and Lapwings)	5933	Trcoles--Tour en Bote	CR-P	14-Jun-22	L1456779	S112965518		1
1368	472	6347	species	Collared Pratincole	Glarole  collier	Glareola pratincola	Charadriiformes	Glareolidae (Pratincoles and Coursers)	6347	St Lucia--iMfolozi River mouth	ZA-NL	03-Oct-14	L4209873	S20579355		1
396	1906	34382	species	Collared Redstart	Paruline ceinture	Myioborus torquatus	Passeriformes	Parulidae (New World Warblers)	34382	"Bats Gardens, Savegre"	CR-SJ	04-Jun-22	L7272525	S112126386		1
1377	1653	30197	species	Collared Sunbird	Souimanga  collier	Hedydipna collaris	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)	30197	St Lucia--iMfolozi River mouth	ZA-NL	02-Oct-14	L4209873	S20565478		1
1713	766	9579	species	Collared Trogon	Trogon rosalba	Trogon collaris	Trogoniformes	Trogonidae (Trogons)	9579	Mountain Pine Ridge--Big Rock Falls	BZ-CY	30-Nov-11	L1087359	S15367631		1
1170	87	961	species	Colombian Chachalaca	Ortalide de Colombie	Ortalis columbiana	Galliformes	"Cracidae (Guans, Chachalacas, and Curassows)"	961	Barbosa	CO-ANT	25-Dec-14	L3241767	S21041635		1
1872	700	8411	species	Common Black Hawk	Buse noire	Buteogallus anthracinus	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8411	Via Parque Isla de Salamanca--Lagunas Costeras	CO-MAG	29-Dec-09	L1051521	S103525654		1
788	138	2206	species	Common Bronzewing	Colombine lumachelle	Phaps chalcoptera	Columbiformes	Columbidae (Pigeons and Doves)	2206	Halls Gap	AU-VIC	25-Oct-17	L2551915	S40125320		1
1452	1510	24720	species	Common Bulbul	Bulbul des jardins	Pycnonotus barbatus	Passeriformes	Pycnonotidae (Bulbuls)	24720	Kruger NP--Letaba-Olifants Rd	ZA-LP	25-Sep-14	L2355950	S20317879		1
628	722	8543	species	Common Buzzard	Buse variable	Buteo buteo	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8543	Bois des Mouilles	CH-GE	20-Jan-19	L5168443	S51854116		1
446	1715	31948	species	Common Chaffinch	Pinson des arbres	Fringilla coelebs	Passeriformes	"Fringillidae (Finches, Euphonias, and Allies)"	31948	"Les Menuires, Saint-Martin-de-Belleville FR-Rhne-Alpes (45.3220,6.5270)"	FR-ARA	09-Feb-20	L10715950	S64306841		1
1065	1760	32867	species	Common Chlorospingus	Chlorospin des buissons	Chlorospingus flavopectus	Passeriformes	Passerellidae (New World Sparrows)	32867	Canopy Lodge	PA-2	12-Nov-16	L604642	S32519275		1
1503	61	715	species	Common Eider	Eider  duvet	Somateria mollissima	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	715	Gare fluviale St-Joseph-de-la-Rive	CA-QC	24-May-14	L14613891	S18531976		1
1651	360	5468	species	Common Gallinule	Gallinule d'Amrique	Gallinula galeata	Gruiformes	"Rallidae (Rails, Gallinules, and Coots)"	5468	Paynes Prairie Preserve SP--East of US 441 (Please consider using a more specific location/hotspot)	US-FL	17-Dec-12	L127275	S15370904		1
1627	68	743	species	Common Goldeneye	Garrot  oeil d'or	Bucephala clangula	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	743	Britannia CA--Mud Lake	CA-ON	07-Apr-13	L1795397	S15364462		1
1597	1843	33853	species	Common Grackle	Quiscale bronz	Quiscalus quiscula	Passeriformes	Icteridae (Troupials and Allies)	33853	Point Pelee NP* general (use more precise loc.)	CA-ON	02-May-13	L131153	S15364735		1
2013	448	6152	species	Common Greenshank	Chevalier aboyeur	Tringa nebularia	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6152	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
604	143	2243	species	Common Ground Dove	Colombe  queue noire	Columbina passerina	Columbiformes	Columbidae (Pigeons and Doves)	2243	Bosque Protector Jerusalem	EC-P	03-Apr-19	L2762008	S54527484		1
1923	768	9604	species	Common Hoopoe	Huppe fascie	Upupa epops	Bucerotiformes	Upupidae (Hoopoes)	9604	Etosha NP* general (use more precise loc.)	NA-OT	04-Jun-07	L2428142	S102122621		1
267	1462	22917	species	Common Jery	Petite roesse	Neomixis tenella	Passeriformes	Cisticolidae (Cisticolas and Allies)	22917	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
1495	535	6933	species	Common Loon	Plongeon huard	Gavia immer	Gaviiformes	Gaviidae (Loons)	6933	CA-ON-Timmins-7-9 McIntyre Rd	CA-ON	04-Jun-14	L2899988	S18686657		1
1522	71	762	species	Common Merganser	Grand Harle	Mergus merganser	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	762	Presqu'ile Provincial Park (general location)	CA-ON	06-Apr-14	L351706	S17772174		1
314	478	6424	species	Common Murre	Guillemot marmette	Uria aalge	Charadriiformes	"Alcidae (Auks, Murres, and Puffins)"	6424	Centre dÕint. et dÕobs. de Cap-de-Bon-Dsir	CA-QC	04-Jul-23	L3769317	S143571727		1
1378	1579	27859	species	Common Myna	Martin triste	Acridotheres tristis	Passeriformes	Sturnidae (Starlings)	27859	St Lucia--iMfolozi River mouth	ZA-NL	02-Oct-14	L4209873	S20565478	N	1
270	1366	19970	species	Common Newtonia	Newtonie commune	Newtonia brunneicauda	Passeriformes	"Vangidae (Vangas, Helmetshrikes, and Allies)"	19970	Iaroka Forest	MG-A	07-Nov-24	L6489758	S202373999		1
1151	205	3492	species	Common Nighthawk	Engoulevent d'Amrique	Chordeiles minor	Caprimulgiformes	Caprimulgidae (Nightjars and Allies)	3492	Magee Marsh (Ottawa Co.)	US-OH	12-May-15	L275517	S23408525		1
1991	1	2	species	Common Ostrich	Autruche d'Afrique	Struthio camelus	Struthioniformes	Struthionidae (Ostriches)	2	Serengeti NP--Seronera	TZ-13	12-Aug-05	L1327024	S15379241		1
1742	207	3527	species	Common Pauraque	Engoulevent pauraqu	Nyctidromus albicollis	Caprimulgiformes	Caprimulgidae (Nightjars and Allies)	3527	Crooked Tree Village	BZ-BZ	28-Nov-11	L2084266	S15367479		1
2052	214	3751	species	Common Potoo	Ibijau gris	Nyctibius griseus	Nyctibiiformes	Nyctibiidae (Potoos)	3751	Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists)	EC-P	02-Jul-04	L5130044	S102099845		1
1664	1435	21624	species	Common Raven	Grand Corbeau	Corvus corax	Passeriformes	"Corvidae (Crows, Jays, and Magpies)"	21624	Grand Canyon NP--South Rim	US-AZ	28-May-12	L281856	S15371239		1
217	399	5831	species	Common Ringed Plover	Pluvier grand-gravelot	Charadrius hiaticula	Charadriiformes	Charadriidae (Plovers and Lapwings)	5831	Ifaty--salt pans	MG-U	13-Nov-24	L3099280	S202342521		1
1341	441	6125	species	Common Sandpiper	Chevalier guignette	Actitis hypoleucos	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6125	Kasane--town	BW-NW	08-Oct-14	L1070000	S20614376		1
1722	195	3218	species	Common Squirrel-Cuckoo	Piaye cureuil	Piaya cayana	Cuculiformes	Cuculidae (Cuckoos)	3218	El Pilar Archaeological Site	BZ-CY	29-Nov-11	L499342	S15367578		1
1618	511	6748	species	Common Tern	Sterne pierregarin	Sterna hirundo	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6748	Point Pelee NP* general (use more precise loc.)	CA-ON	02-May-13	L131153	S15364735		1
1671	1143	16429	species	Common Tody-Flycatcher	Todirostre familier	Todirostrum cinereum	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16429	Hopkins-Sittee River area	BZ-SC	03-Dec-11	L660679	S15367714		1
1406	1691	31298	species	Common Waxbill	Astrild ondul	Estrilda astrild	Passeriformes	Estrildidae (Waxbills and Allies)	31298	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
444	118	1885	species	Common Wood-Pigeon	Pigeon ramier	Columba palumbus	Columbiformes	Columbidae (Pigeons and Doves)	1885	Jete et Port des Pquis	CH-GE	15-Feb-20	L926699	S64523020		1
1770	1867	34028	species	Common Yellowthroat	Paruline masque	Geothlypis trichas	Passeriformes	Parulidae (New World Warblers)	34028	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1868	683	8278	species	Cooper's Hawk	pervier de Cooper	Astur cooperii	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8278	Ottawa--Rideau Forest	CA-ON	12-Apr-10	L2381380	S15665321		1
746	332	5091	species	Copper-rumped Hummingbird	Ariane de Flicie	Saucerottia tobaci	Apodiformes	Trochilidae (Hummingbirds)	5091	Asa Wright Nature Center	TT-TUP	06-Apr-18	L40158136	S44312870		1
155	309	4912	species	Coppery Emerald	meraude cuivre	Chlorostilbon russatus	Apodiformes	Trochilidae (Hummingbirds)	4912	El Campano	CO-MAG	08-Apr-25	L11802673	S223934047		1
369	322	5008	species	Coppery-headed Emerald	Colibri  tte cuivre	Microchera cupreiceps	Apodiformes	Trochilidae (Hummingbirds)	5008	Galeria de Colibr y Soda Cinchona - Mirador San Fernando	CR-A	09-Jun-22	L436224	S112532008		1
1343	191	3108	species	Coppery-tailed Coucal	Coucal des papyrus	Centropus cupreicaudus	Cuculiformes	Cuculidae (Cuckoos)	3108	Kasane--town	BW-NW	08-Oct-14	L1070000	S20614376		1
234	187	3070	species	Coquerel's Coua	Coua de Coquerel	Coua coquereli	Cuculiformes	Cuculidae (Cuckoos)	3070	Zombitse-Vohibasia NP	MG-U	12-Nov-24	L920160	S202373817		1
1990	106	1660	species	Coqui Francolin	Francolin coqui	Campocolinus coqui	Galliformes	"Phasianidae (Pheasants, Grouse, and Allies)"	1660	Serengeti NP--Seronera	TZ-13	12-Aug-05	L1327024	S15379241		1
339	1895	34268	species	Costa Rican Warbler	Paruline du Costa Rica	Basileuterus melanotis	Passeriformes	Parulidae (New World Warblers)	34268	Reserva Biolgica Bosque Nuboso Monteverde	CR-P	14-Jun-22	L552342	S112944944		1
1805	1232	17459	species	Couch's Kingbird	Tyran de Couch	Tyrannus couchii	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17459	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
763	305	4882	species	Cozumel Emerald	meraude de Cozumel	Cynanthus forficatus	Apodiformes	Trochilidae (Hummingbirds)	4882	El Cedral (Pueblo)	MX-ROO	18-Dec-17	L1973735	S41173836		1
759	1332	19191	species	Cozumel Vireo	Viro de Cozumel	Vireo bairdi	Passeriformes	"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"	19191	Entrada a Club de Campo Cozumel	MX-ROO	18-Dec-17	L5626137	S41178613		1
210	467	6306	species	Crab-Plover	Drome ardole	Dromas ardeola	Charadriiformes	Dromadidae (Crab-Plover)	6306	"MG (-23,633, 43,601)"	MG-U	15-Nov-24	L38036757	S202791296		1
1006	696	8391	species	Crane Hawk	Buse chasse	Geranospiza caerulescens	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8391	Parque Municipal Summit	PA-8	18-Nov-16	L454709	S32610414		1
47	1270	18099	species	Crescent Honeyeater	Mliphage  croissants	Phylidonyris pyrrhopterus	Passeriformes	Meliphagidae (Honeyeaters)	18099	Toolangi State Forest--Wirrawilla Rainforest	AU-VIC	13-Nov-25	L2301671	S284195246		1
1444	834	10535	species	Crested Barbet	Barbican prompic	Trachyphonus vaillantii	Piciformes	Lybiidae (African Barbets)	10535	Kruger NP--Letaba-Olifants Rd	ZA-LP	26-Sep-14	L2355950	S20351042		1
100	1320	18989	species	Crested Bellbird	Carillonneur hupp	Oreoica gutturalis	Passeriformes	Oreoicidae (Australo-Papuan Bellbirds)	18989	"Whitedam Conservation Park, Maude AU-SA -33.92653, 139.49638"	AU-SA	06-Nov-25	L54830749	S283077148		1
1294	897	11962	species	Crested Caracara	Caracara hupp	Caracara plancus	Falconiformes	Falconidae (Falcons and Caracaras)	11962	Represa Cameguadua	CO-CAL	16-Dec-14	L3786045	S20932040		1
226	182	3058	species	Crested Coua	Coua hupp	Coua cristata	Cuculiformes	Cuculidae (Cuckoos)	3058	Ifaty--spiny forest reserves	MG-U	13-Nov-24	L920191	S202372400		1
292	1393	20430	species	Crested Drongo	Drongo malgache	Dicrurus forficatus	Passeriformes	Dicruridae (Drongos)	20430	Analamazaotra Forest Station	MG-A	06-Nov-24	L3936735	S201573687		1
906	672	8083	species	Crested Eagle	Harpie huppe	Morphnus guianensis	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8083	"8.5775x-77.8576 - Apr 6, 2017, 2:37 PM"	PA-EM	06-Apr-17	L5663749	S35758753		1
1959	103	1632	species	Crested Francolin	Francolin hupp	Ortygornis sephaena	Galliformes	"Phasianidae (Pheasants, Grouse, and Allies)"	1632	Tarangire NP	TZ-26	16-Aug-05	L1044008	S15379289		1
376	82	884	species	Crested Guan	Pnlope panache	Penelope purpurascens	Galliformes	"Cracidae (Guans, Chachalacas, and Curassows)"	884	Estacin Biolgica La Selva-OTS	CR-H	08-Jun-22	L436195	S112439329		1
1081	1816	33624	species	Crested Oropendola	Cassique hupp	Psarocolius decumanus	Passeriformes	Icteridae (Troupials and Allies)	33624	Canopy Lodge	PA-2	11-Nov-16	L604642	S32494590		1
379	730	8892	species	Crested Owl	Duc  aigrettes	Lophostrix cristata	Strigiformes	Strigidae (Owls)	8892	Flores	CR-L	07-Jun-22	L1122705	S112403738		1
892	139	2212	species	Crested Pigeon	Colombine longup	Ocyphaps lophotes	Columbiformes	Columbidae (Pigeons and Doves)	2212	Royal Botanic Gardens (Sydney)	AU-NSW	07-Oct-17	L915566	S39591405		1
871	934	12480	species	Crimson Rosella	Perruche de Pennant	Platycercus elegans	Psittaciformes	Psittaculidae (Old World Parrots)	12480	Blue Mountains Botanic Garden	AU-NSW	09-Oct-17	L2556612	S39782646		1
1167	1948	34820	species	Crimson-backed Tanager	Tangara  dos rouge	Ramphocelus dimidiatus	Passeriformes	Thraupidae (Tanagers and Allies)	34820	Barbosa	CO-ANT	25-Dec-14	L3241767	S21041635		1
1940	1385	20133	species	Crimson-breasted Gonolek	Gonolek rouge et noir	Laniarius atrococcineus	Passeriformes	Malaconotidae (Bushshrikes and Allies)	20133	Okonjima Nature Reserve	NA-OD	01-Jun-07	L2439691	S102159093		1
1694	1944	34793	species	Crimson-collared Tanager	Tangara ceintur	Ramphocelus sanguinolentus	Passeriformes	Thraupidae (Tanagers and Allies)	34793	Blue Hole National Park	BZ-CY	01-Dec-11	L2381840	S15367650		1
1076	883	11558	species	Crimson-crested Woodpecker	Pic de Malherbe	Campephilus melanoleucos	Piciformes	Picidae (Woodpeckers)	11558	Canopy Lodge	PA-2	12-Nov-16	L604642	S32519275		1
